Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kwon, Min Jung; Shin, He Min; Perumalsamy, Haribalan; Wang, Xue; Ahn, Young-Joon; ",Antiviral effects and possible mechanisms of action of constituents from Brazilian propolis and related compounds,Journal of Apicultural Research,59,4,413-425,2020,Taylor & Francis
"Wadhwa, Ridhima; Pandey, Parijat; Gupta, Gaurav; Aggarwal, Taru; Kumar, Nitesh; Mehta, Meenu; Satija, Saurabh; Gulati, Monica; Madan, Jyotsna R; Dureja, Harish; ",Emerging complexity and the need for advanced drug delivery in targeting Candida species,Current topics in medicinal chemistry,19,28,2593-2609,2019,Bentham Science Publishers
"Tew, Xin Nee; Lau, Natalie Jia Xin; Chellappan, Dinesh Kumar; Madheswaran, Thiagarajan; Zeeshan, Farrukh; Tambuwala, Murtaza M; Aljabali, Alaa AA; Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Gupta, Gaurav; ",Immunological axis of berberine in managing inflammation underlying chronic respiratory inflammatory diseases,Chemico-biological interactions,317,,108947,2020,Elsevier
"Thangavelu, Lakshmi; Balusamy, Sri Renukadevi; Shanmugam, Rajeshkumar; Sivanesan, Senthilkumar; Devaraj, Ezhilarasan; Rajagopalan, Vijayaraghavan; Veeraiyan, Deepak Nallaswamy; Chellappan, Dinesh Kumar; Dua, Kamal; Kim, Yeon-Ju; ",Evaluation of the sub-acute toxicity of Acacia catechu Willd seed extract in a Wistar albino rat model,Regulatory Toxicology and Pharmacology,113,,104640,2020,Academic Press
"Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Veerappan, Karpagam; Huq, Md Amdadul; Rajeshkumar, Shanmugam; Lakshmi, T; Kim, Yeon Ju; ",Citral induced apoptosis through modulation of key genes involved in fatty acid biosynthesis in human prostate cancer cells: In silico and in vitro study,BioMed research international,2020,1,6040727,2020,Hindawi
"Liu, Ying; Perumalsamy, Haribalan; Kang, Chang Ho; Kim, Seung Hyun; Hwang, Jae-Sam; Koh, Sung-Cheol; Yi, Tae-Hoo; Kim, Yeon-Ju; ",Intracellular synthesis of gold nanoparticles by Gluconacetobacter liquefaciens for delivery of peptide CopA3 and ginsenoside and anti-inflammatory effect on lipopolysaccharide-activated macrophages,"Artificial Cells, Nanomedicine, and Biotechnology",48,1,777-788,2020,Taylor & Francis
"Aggarwal, Taru; Wadhwa, Ridhima; Gupta, Riya; Paudel, Keshav R; Collet, Trudi; Chellappan, Dinesh Kumar; Gupta, Gaurav; Perumalsamy, Haribalan; Mehta, Meenu; Satija, Saurabh; ",MicroRNAs as biomarker for breast cancer,"Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets-Immune, Endocrine & Metabolic Disorders)",20,10,1597-1610,2020,Bentham Science Publishers
"Shunmugam, Rajeshkumar; Balusamy, Sri Renukadevi; Kumar, Venkat; Menon, Soumya; Lakshmi, T; Perumalsamy, Haribalan; ",Biosynthesis of gold nanoparticles using marine microbe (Vibrio alginolyticus) and its anticancer and antioxidant analysis,Journal of King Saud University-Science,33,1,101260,2021,Elsevier
"Perumalsamy, Haribalan; Sankarapandian, Karuppasamy; Veerappan, Karpagam; Natarajan, Sathishkumar; Kandaswamy, Narendran; Thangavelu, Lakshmi; ","Balusamy, Sri Renukadevi In silico and in vitro analysis of coumarin derivative induced anticancer effects by undergoing intrinsic pathway mediated apoptosis in human stomach cancer",PHYTOMEDICINE,46,,119-130,2018,
"Kim, Jun-Ran; Perumalsamy, Haribalan; ki Son, Bong; Ahn, Young-Joon; ",Fumigant Toxicity of Plant Essential Oils to Camptomyia corticalis (Diptera: Cecidomyiidae),,,,,,
"Jayanthi, Malaiyandi; Gokulanathan, Anandapadmanaban; Haribalan, Perumalsamy; Ashakiran, Kilankajae; Kumar, Chellappan Dinesh; Kamal, Dua; Girija, Shanmugam; Renukadevi, Balusamy Sri; ",Plumbagin from two Plumbago species inhibits the growth of stomach and breast cancer cell lines,Industrial Crops and Products,146,,112147,2020,Elsevier
